Nombre,Institucion.Evento,Ciudad,Lugar,Formato,Fecha,anio,Tipo,Cantidad,Rol,Links,title_clean
AGRANDA Primer simposio argentino de grandes datos. Expositora.,SADIO,Rosario- Santa Fe- Argentina.,Latin America,In person,1 y 2 de Septiembre de 2015.,2015,Regular Talk,100,Speaker,,agranda primer simposio argentino de grandes datos. expositora.
Uso del radar meteorológico y Data Mining para la clasificación de granizo,Compañías de Seguro Agricolas,Rosario- Santa Fe,Latin America,In person,11 de junio de 2015.,2015,Regular Talk,12,Speaker,,uso del radar meteorológico y data mining para la clasificación de granizo
Clasificación de granizo en superficie usando técnicas de minería de datos y datos de radar meteorológico.,ASAI 2015,44 JAIIO,Latin America,In person,03/09/2015,2015,Regular Talk,50,Speaker,,clasificación de granizo en superficie usando técnicas de minería de datos y datos de radar meteorológico.
Espacios de colaboración: la nueva Intranet de INTA,EEA Anguil,Anguil,Argentina,In person,16 de septiembre de 2015,2015,Course,30,Teacher,,espacios de colaboración: la nueva intranet de inta
El valor del acceso al conocimiento digitalizado en la toma de decisiones,,Anguil,Argentina,In person,19/08/2015,2015,Panel,35,Organizer,https://inta.gob.ar/noticias/seminario-interno-el-valor-del-acceso-al-conocimiento-digitalizado-en-la-toma-de-decisiones,el valor del acceso al conocimiento digitalizado en la toma de decisiones
GeoINTA: la infraestructura de datos espaciales del INTA,Santa Rosa,,Argentina,In person,11 y 12 de Diciembre 2015,2015,Regular Talk,67,Speaker,,geointa: la infraestructura de datos espaciales del inta
Hacia una Arquitectura de Procesamiento de Datos del RADAR Meteorológico de INTA Anguil.,SIE 2015 - 9º Simposio de Informática en el Estado,44 JAIIO,Latin America,In person,04/09/2015,2015,Regular Talk,60,Speaker,,hacia una arquitectura de procesamiento de datos del radar meteorológico de inta anguil.
INTA. AgroTICs,Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,Argentina,In person,Octubre,2015,Exhibition,200,Speaker,,inta. agrotics
Síntesis de una Arquitectura de Procesamiento de Datos del RADAR Meteorológico de INTA Anguil.,AGRANDA 2015,44 JAIIO,Latin America,In person,02/09/2015,2015,Lightning talk,30,Speaker,,síntesis de una arquitectura de procesamiento de datos del radar meteorológico de inta anguil.
,CONGREMET,Mar del Plata,Latin America,In person,26 al 29 de Mayo de 2015,2015,Lightning talk,50,Speaker,,
8vo Congreso Argentino de AgroInformática. 43 JAIIO,SADIO-INTA,Buenos Aires,Latin America,In person,5 y 6 de Septiembre de 2016,2016,Conference,200,Chair,,8vo congreso argentino de agroinformática. 43 jaiio
Introducción a la gestión de contenidos del sitio web de INTA,EEA Anguil,Anguil- La Pampa,Argentina,In person,abril 2016,2016,Course,15,Teacher,,introducción a la gestión de contenidos del sitio web de inta
Introducción al Uso y Administración de espacios de colaboración de INTA,EEA Anguil,Anguil- La Pampa,Argentina,In person,Junio a Agosto de 2016.,2016,Course,35,Teacher,,introducción al uso y administración de espacios de colaboración de inta
Turismo y Redes Sociales,Grupos de Cambio Rural sobre Turismo Rural y autoridades provinciales de la Dirección de Turismo de La Pampa.,Santa Rosa- La Pampa,Argentina,In person,2016,2016,Course,13,Teacher,,turismo y redes sociales
El uso de geotecnologías para el manejo de información agropecuaria,,Santa Rosa- La Pampa.,Argentina,In person,17 y 18/11/2016,2016,Keynote,100,Speaker,,el uso de geotecnologías para el manejo de información agropecuaria
GeoINTA: aprovechando los mapas del INTA en Internet.,,Santa Rosa,Argentina,In person,19/04/2016,2016,Podcast,1000,Speaker,https://inta.gob.ar/audios/yanina-bellini-geointa-aprovechando-los-mapas-del-inta-en-internet,geointa: aprovechando los mapas del inta en internet.
GeoINTA: compartiendo datos por medio de la Infraestructura de Datos Espaciales del INTA,10° Simposio de Informática en el Estado - SIE,Buenos Aires- Argentina.,Latin America,In person,7 al 9 de Septiembre de 2016.,2016,Regular Talk,70,Speaker,,geointa: compartiendo datos por medio de la infraestructura de datos espaciales del inta
