Title,Year,Type_Long,Type,Link,En_mi_web
Building inclusive communities. The Latin American R Community,2022,Blog post,Blog post,,Si
Cada vez que enseño aprendo algo nuevo - Greg Wilson,2022,Blog post,Blog post,,Si
Call for Tutorials - More resources,2022,Blog post,Blog post,,Si
Call for Tutorials - The form,2022,Blog post,Blog post,,Si
Chat-based sprint meeting,2022,Blog post,Blog post,,Si
Clase teórica on-line,2022,Blog post,Blog post,,Si
Club de Lectura de Enseñar Tecnología en Comunidad,2022,Blog post,Blog post,,Si
Como determinar cuanto cobrar,2022,Blog post,Blog post,,Si
Cómo ganarse la vida enseñando R (Yanina Noemi Bellini Saibene and Greg Wilson) . LatinR 2022.,2022,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,https://github.com/LatinR/presentaciones-LatinR2022/blob/main/papers/LatinR2022_propuesta_1979.pdf,
Cómo participar en rOpenSci,2022,Blog post,Blog post,,Si
Conclusiones del primer encuentro del Club de Lectura,2022,Blog post,Blog post,,Si
Cosas que pasaron en las aulas virtuales y como las resolvimos - Entrega 1,2022,Blog post,Blog post,,Si
Cosas que pasaron en las aulas virtuales y como las resolvimos - Entrega 2,2022,Blog post,Blog post,,Si
Cosas que pasaron en las aulas virtuales y como las resolvimos - Entrega 3,2022,Blog post,Blog post,,Si
Cuarto Encuentro del Club de Lectura Enseñando Tecnología en Comunidad,2022,Blog post,Blog post,,Si
Dándote a conocer,2022,Blog post,Blog post,,Si
Empezando a enseñar,2022,Blog post,Blog post,,Si
Enseñando programación,2022,Blog post,Blog post,,Si
Gaps & Opportunities for Inclusive Multilingual Data Science,2022,Blog post,Blog post,,Si
Haciendo revisiones con GitHub,2022,Blog post,Blog post,,Si
How 2021 went?,2022,Blog post,Blog post,,Si
How carpentries help me to teach to 300 students.Carpentry Con,2022,"En Congresos, Seminarios, Simposios y Jornadas Internacionales",International Conferences,,
How to Participate with rOpenSci,2022,Blog post,Blog post,,Si
Identidad visual 2022. Renovarnos con la misma esencia,2022,Blog post,Blog post,,Si
