"Nombre","Institucion.Evento","Ciudad","Lugar","Formato","Fecha","anio","Tipo","Cantidad","Rol","Links"
"Facilitating discussions around DEI ",,,,,"April 2021",2021,"Talk",,"Speaker","https://www.cscce.org/event/dei-sig-facilitating-discussions-around-dei/"
"Como enseñar a programar on-line",,,,,"March 2021",2021,"Event Organization",,"Organizer","https://www.metadocencia.org/curso/programar/"
"Intro al ABC para enseñar on-line",,,,,"March 2021",2021,"Event Organization",,"Organizer","https://www.metadocencia.org/curso/intro-abc-online/"
"R-Ladies 2020 and TidyModels",,,,,"December 2020",2020,"Event Organization",,"Organizer","https://rladiesenargentina.github.io/Resumen_meetups_2020/"
"Cómo enseñar a programar online",,,,"Online","April 2021",2021,"Event Organization",,"Organizer","https://www.metadocencia.org/curso/programar/"
"Comunidades de práctica - Mujeres que inspiran",,,,,"February 2021",2021,"Talk",,"Speaker","https://twitter.com/CientificasEC"
"Intro al ABC para enseñar on-line",,,,,"February 2021",2021,"Event Organization",,"Organizer","https://www.metadocencia.org/curso/intro-abc-online/"
"Procesando datos espaciales con R",,,,,"November 2020",2020,"Hackathon",,"Participant","https://desafiosagtech.com/"
"Aplicaciones de Ciencias de Datos en el sector agropecuario",,,,,"May 2021",2021,"Talk",,"Speaker","https://congreso.see-ec.org/"
"Hacia una red de práctica sobre comunidades de práctica",,,,,"November 2020",2020,"Talk",,"Speaker","https://www.youtube.com/watch?v=7faW466eccM"
"Generando tutoriales interactivos con el paquete learnr",,,,"Online","October 2020",2020,"Event Organization",,"Organizer","https://www.meetup.com/es/rladies-santa-rosa/events/273513242/"
"Predictive modeling with text using tidy data principles - useR! 2020 tutorial",,,,,"July 2020",2020,"Event Organization",,"Organizer","https://www.meetup.com/es/rladies-santa-rosa/events/271927045/"
"Ciencia de datos aplicada al sector agropecuario",,,,,"May 2021",2021,"Talk",,"Speaker","https://twitter.com/wids_lapaz"
"¿Qué es un poster?",,,,,"December 2020",2020,"Talk",,"Speaker","https://twitter.com/rladieslapaz"
"La ciencia de datos al servicio del sector agropecuario",,,,,"March 2021",2021,"Talk",,"Speaker","https://www.austral.edu.ar/cienciasempresariales/conocimiento-e-impacto/austral-en-linea/webinars-2021/"
