Nombre,Institucion.Evento,Lugar,Fecha,anio,Tipo,Cantidad,Rol,Links
Área Estratégica Tecnología de la Información,INTA Expone 2004,Oliveros (Santa Fé),28 al 30 de Octubre del 2004,2004,Exhibition,,Organizer,
Programación de Microsoft SQL Server 2000 con ASP.NET,Informáticos INTA,EEA Anguil,22 al 26 de Marzo 2004,2004,Course,23,Teacher,
AgroRADAR,1º Congreso Sobre Producción de Origen Agropecuario del SE Pampeano,Necochea,28 de Enero al 4 de Febrero de 2003,2003,Invited Talk,,Speaker,
,Ronda de Trigo 2003,Este de La Pampa-Suroeste de Buenos Aires,24 al 28 de Noviembre de 2003,2003,Exhibition,,Organizer,
Programando Microsoft SQL Server 2000,EEA Anguil,,24 al 28 de noviembre de 2003,2003,Course,21,Teacher,
,Ronda de Girasol 2002,Este de La Pampa-Suroeste de Buenos Aires,26 de Febrero al 1 de Marzo 2002,2002,Exhibition,,Organizer,
,Ronda de Trigo 2002,Este de La Pampa-Suroeste de Buenos Aires,25 al 29 de Noviembre de 2002,2002,Exhibition,,Organizer,
,Ronda del Puerto 2002,Bahía Blanca,8 de octubre de 2002,2002,Exhibition,,Organizer,
Jornada de Calidad Agroalimentaria y Trazabilidad,Profesionales,EEA INTA Anguil. Anguil- La Pampa,15 de agosto de 2002,2002,Conference,,Organizer,
Jornada de Sustentabilidad e Incertidumbre,Profesionales,EEA INTA Anguil. Anguil- La Pampa,13 de junio de 2002,2002,Conference,,Organizer,
Sistemas de Información Geográficos en el Agro,75º Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,7 y 8 de Octubre de 2001,2001,Exhibition,,Speaker,
,Ronda de Trigo 2001,Este de La Pampa-Suroeste de Buenos Aires,12 al 16 de Noviembre de 2001,2001,Exhibition,,Organizer,
SIG y Teledetección,74º Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa,Santa Rosa,7 y 8 de Octubre de 2000,2000,Exhibition,,Speaker,
Teledetección en el Agro,Exposición Rural de Realico,Realicó,15- 16 y 17 de Septiembre de 2000,2000,Exhibition,,Speaker,
AgroRADAR,VII Encuentro de la Asociación Panamericana De Bolsas De Productos,Buenos Aires- Argentina,15- 16 y 17 de Noviembre de 2000,2000,Invited Talk,,Speaker,
Los números del Girasol en La Pampa,Jornada Presente y Futuro del Girasol para la región subhumeda y semiárida pampeana,Santa Rosa,1 de septiembre de 2000,2000,Invited Talk,,Speaker,
Bases de Datos y SQL,Investigadores INTA,EEA Anguil,marzo 2000,2000,Course,10,Teacher,
Estimaciones agricolas con imágenes satelitales,VII Jornadas Pampeanas de Ciencias Naturales,Consejo Profesional de Ciencias Naturales de La Pampa y Facultad de Ciencias Exactas y Naturales- UNLPam,diciembre 1999,1999,Lightning talk,30,Speaker,
SIG y Teledetección,73º Exposición Rural- Comercial e Industrial de la Asociación Agrícola Ganadera de La Pampa-,Santa Rosa,septiembre de 1999,1999,Exhibition,100,Speaker,
Capacitación en el uso del software de la encuesta AgroRADAR,Bolsa y Camara de Cereales de Bahia Blanca e INTA,EEA Anguil,abril 1999,1999,Course,18,Teacher,
Internet en educación,4tas Jornadas sobre Informática- Educación y Sociedad,Santa Rosa,31 de Octubre y 1 de Noviembre de 1998,1998,Invited Talk,70,Speaker,
Internet y Correo Electrónico,Investigadores INTA,EEA Anguil,septiembre 1998,1998,Course,32,Teacher,
Internet y Correo Electrónico,Investigadores INTA,EEA Anguil,agosto 1998,1998,Course,58,Teacher,
Internet y Correo Electrónico,Investigadores INTA,EEA Anguil,julio 1998,1998,Course,45,Teacher,
Utilización Pedagógica de la Informática y Telemática en Escuelas de Nivel Medio,Docentes,Subsecretaria de Coordinación - Ministerio de Cultura y Educación - Prov. de La Pampa,Septiembre-Noviembre 1997,1997,Course,30,Teacher,
Informática inicial para docentes,Docentes,Subsecretaria de Coordinación - Ministerio de Cultura y Educación - Prov. de La Pampa,Abril-Noviembre 1997,1997,Course,27,Teacher,
Multimedia Infantil ,Alumnos K-12,Liceo Informático II (Santa Rosa).,Abril-Noviembre 1997,1997,Course,15,Teacher,
Informática inicial para niños ,Alumnos K-12,Liceo Informático II (Santa Rosa).,Abril-Noviembre 1997,1997,Course,15,Teacher,
Utilización Pedagógica de la Informática en Escuelas Primarias,Docentes,Subsecretaria de Coordinación - Ministerio de Cultura y Educación - Prov. de La Pampa,Abril-Mayo 1997,1997,Course,35,Teacher,
3ras Jornadas sobre Informática- Educación y Sociedad,Liceo Informático II,Santa Rosa,30 y 31 de Octubre de 1997,1997,Conference,80,Organizer,
Alumnos K-12,,C.E.D.A.N (Santa Rosa).,Mayo-Noviembre 1996,1996,Course,18,Teacher,
Alumnos K-12,,C.E.D.A.N (Santa Rosa),Mayo-Noviembre 1996,1996,Course,15,Teacher,
2das Jornadas sobre Informática- Educación y Sociedad,Liceo Informático II,Santa Rosa,31 de Oct. 1 de Nov,1996,Conference,80,Organizer,
Intro a la computación,Adultos,IBM-Banco Nación,Agosto-Septiembre,1994,Course,5,Teacher,
Base de Datos ,Alumnos K-12,Liceo Informático (Realicó-La Pampa).,Abril-Diciembre 1994 (Ing. Luiggi),1994,Course,17,Teacher,
Informática para niños ,Alumnos K-12,Liceo Informático (Realicó-La Pampa).,Abril-Diciembre 1994 (Ing. Luiggi),1994,Course,12,Teacher,
Sistema Operativo ,Adultos,Liceo Informático (Realicó-La Pampa).,Abril-Diciembre 1994 (Ing. Luiggi),1994,Course,9,Teacher,
Sistema Operativo ,Adultos,Liceo Informático (Realicó-La Pampa).,Agosto-Diciembre 1993 (Ing. Luiggi),1993,Course,7,Teacher,
Informática para niños ,Alumnos K-12,Liceo Informático (Realicó-La Pampa).,Abril-Diciembre 1994 (Ing. Luiggi),1993,Course,7,Teacher,
Appsilon Shiny Conference,AppSilon,,27-29 April 2022,2022,Conference,200,Organizer,
